imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification,release_year
tt8795764,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}]",https://www.utahwolf.com/films/coming-soon-new-breed,871624.0,en,New Breed,"Derek gets sucked into a gothic cult that turns out to be vampires. As a vampire now, he must figure out who he is and what side he serves. In the end will he be good or bad?",1.091,/goddglRmgDgQuo9tlMdoeeHlRfX.jpg,"[{'id': 133614, 'logo_path': None, 'name': 'Wolf Productions UT', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-01,0.0,57.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,New Breed,0.0,0.0,0.0,NR,2001
tt1485691,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}]",,406849.0,en,Charm,"Underground filmmakers Sarah Reed and Sadie Shaw make their feature-length debut with this brooding horror flick. Frustrated by the apathy all around her, a discontented young woman named Rosie lashes out with increasing violence in order to provoke a reaction from the deadness in her world. Using surreal imagery, this visually compelling film also explores the themes of alienation, isolation and the destructive nature of relationships.",0.6000000000000001,,[],[],2002-01-25,0.0,70.0,[],Released,,Charm,0.0,0.0,0.0,NR,2002
tt1513854,0.0,/3r56SV6WjnKIx7uUUWeXZN23n4p.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",,1175791.0,en,"Peter Meadowdale: Big Crimes, Big City, Short Detective","It is one week since Meadowdale's run-in with The Chartreuse Men, and he is broke. Just when it seems all hope is lost, salvation enters his office in the form of one Miss Victoria Urstaring. Now, Meadowdale is back on his feet and after the missing case of bourbon and the mysterious ""Malted Eagle"" statue. The Detective is lead down a ""string"" of paths, and in the process, is framed for murder! It's a case only our hero can solve...or rather, stumble upon and in the end, Cupid's arrow is more involved than Meadowdale is prepared for.",0.6000000000000001,/2LNsEE2BwhhojMahoGvk7kF9ujc.jpg,"[{'id': 208173, 'logo_path': None, 'name': 'Livestock Productions', 'origin_country': ''}]",[],2002-05-31,0.0,47.0,[],Released,Enter a world where crime doesn't pay......until you cash in the check.,"Peter Meadowdale: Big Crimes, Big City, Short Detective",0.0,0.0,0.0,NR,2002
tt1123373,0.0,/af3gx7Tuu08pf8ioJU0ok6r407J.jpg,"{'id': 222639, 'name': 'Detective Dee Collection (Tsui Hark)', 'poster_path': '/v2WxMtq7BZx9ANPSl1noN124Eky.jpg', 'backdrop_path': '/r1Yt6uOaFEEBbPfX2Qs4w97e55S.jpg'}",13000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,48492.0,zh,狄仁傑之通天帝國,"When the future empress Wu Zetian's two courtiers die in a mysterious fire, she gets Di Renjie, a former detective and rebel, released from prison to solve the mystery of the fire.",18.844,/qWOBV05kNeLyaiA31DFkZlMpta5.jpg,"[{'id': 3393, 'logo_path': None, 'name': 'Huayi Brothers Pictures', 'origin_country': 'CN'}, {'id': 3618, 'logo_path': None, 'name': 'Film Workshop', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2010-09-18,51723285.0,123.0,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,The Fate of an Empire Is in His Hands.,Detective Dee and the Mystery of the Phantom Flame,0.0,6.569,360.0,PG-13,2010
tt1125929,0.0,/6HT2Ep7riT2gOf9atuxW6gOY13G.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,39845.0,en,Love Ranch,Story of a couple that starts the first legal brothel in Nevada and a boxer they own a piece of.,7.75,/5Br0vFwX5UJZ60hwmSMMIKH2RgZ.jpg,"[{'id': 826, 'logo_path': None, 'name': 'Capitol Films', 'origin_country': 'GB'}, {'id': 1208, 'logo_path': None, 'name': 'Rising Star', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",2010-06-30,0.0,117.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,When It Comes To Love... Everyone Pays A Price.,Love Ranch,0.0,5.457,47.0,R,2010
tt1126591,0.0,/kKUX4xvdL5wmYpFbTg4qYAguGLP.jpg,,55000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.burlesquethemovie.com/,42297.0,en,Burlesque,"Ali leaves behind a troubled life and follows her dreams to Los Angeles, where she lands a job as a cocktail waitress at the Burlesque Lounge, a once-majestic theater that houses an inspired musical revue. Vowing to perform there, she makes the leap from bar to stage, helping restore the club's former glory.",26.379,/3U9zBIibERQZqYKM3N1a4MYgBsN.jpg,"[{'id': 3287, 'logo_path': '/bz6GbCQQXGNE56LTW9dwgksW0Iw.png', 'name': 'Screen Gems', 'origin_country': 'US'}, {'id': 348, 'logo_path': None, 'name': 'Bedford Falls Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-11-23,89519773.0,119.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,It takes a legend... to make a star,Burlesque,0.0,7.189,2118.0,PG-13,2010
tt1126618,0.0,/52MuEsjrjYWoQRY95yHE9KRVA9i.jpg,,40000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",http://www.morningglorymovie.com/,38357.0,en,Morning Glory,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories.",22.262,/aFRXEoB3QkeHNHYmVGC3uzFSol8.jpg,"[{'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 500, 'logo_path': '/yDDFvMZAEbLGAm90LxzmayEfvE5.png', 'name': 'Goldcrest', 'origin_country': 'GB'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-11-10,60040976.0,107.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Ukrainian', 'iso_639_1': 'uk', 'name': 'Український'}]",Released,Breakfast TV just got interesting.,Morning Glory,0.0,6.34,1380.0,PG-13,2010
tt1129427,0.0,/d74rXG1P0OUNA0uF5lyLOs9vFy7.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",http://www.missnobodymovie.com/,51875.0,en,Miss Nobody,A mild-mannered secretary discovers that she has a talent for murder as she ascends the corporate ladder.,8.409,/mDrQ2rRdmlKAOeSUvSFZi0Rt5op.jpg,"[{'id': 7216, 'logo_path': None, 'name': 'Double Dutch Films', 'origin_country': ''}, {'id': 207552, 'logo_path': None, 'name': 'Miss Nobody Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-06-10,90647.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Climbing the corporate ladder can be murder.,Miss Nobody,0.0,5.4,48.0,R,2010
tt1139328,0.0,/6YAtj6HK9rHmBRvPL5YgP60Whdq.jpg,,45000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,11439.0,en,The Ghost Writer,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,25.649,/rK7m2Ba0ieXa37NaAmrx4dfRvvM.jpg,"[{'id': 355, 'logo_path': None, 'name': 'R.P. Productions', 'origin_country': 'FR'}, {'id': 264, 'logo_path': '/fA90qwUKgPhMONqtwY60GaHRyrW.png', 'name': 'Studio Babelsberg', 'origin_country': 'DE'}, {'id': 265, 'logo_path': None, 'name': 'Runteam', 'origin_country': 'GB'}, {'id': 83, 'logo_path': '/9OQ0rm55xtlgX7KcAKMUePJSrQc.png', 'name': 'France 2 Cinéma', 'origin_country': 'FR'}, {'id': 491, 'logo_path': '/5LvDUt3KmvRnXQ4NrdWJYHeuA8J.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 2026, 'logo_path': '/q9s9KGhSsFEnpTmLLwprytB3T3d.png', 'name': 'FFA', 'origin_country': 'DE'}, {'id': 451, 'logo_path': '/g1GRk1SdwxNwg5J3aXtrqTaXo8k.png', 'name': 'Medienboard Berlin-Brandenburg', 'origin_country': 'DE'}, {'id': 2406, 'logo_path': '/awYxP0L1FKUxf0oIanEDEKFKuaY.png', 'name': 'FilmFörderung Hamburg', 'origin_country': 'DE'}, {'id': 156369, 'logo_path': None, 'name': 'Mecklenburg Vorpommern', 'origin_country': ''}, {'id': 7131, 'logo_path': '/eLvjHPYZ12GR58lrDgg6MXZp2a3.png', 'name': 'France Télévisions', 'origin_country': 'FR'}, {'id': 156370, 'logo_path': None, 'name': 'Bogard', 'origin_country': ''}, {'id': 156371, 'logo_path': None, 'name': '321 Films', 'origin_country': ''}, {'id': 6731, 'logo_path': None, 'name': 'R.P. Films', 'origin_country': ''}, {'id': 156372, 'logo_path': None, 'name': 'Elfte Babelsberg Film GmbH', 'origin_country': ''}, {'id': 6732, 'logo_path': None, 'name': 'Runteam III Ltd.', 'origin_country': ''}, {'id': 7981, 'logo_path': '/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png', 'name': 'Pathé', 'origin_country': 'FR'}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-02-12,60331447.0,128.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Read between the lies.,The Ghost Writer,0.0,6.823,2050.0,PG-13,2010
tt1164999,0.0,/s1r2aBDzkvlFkNnAgxWFTCQjKPe.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,45958.0,es,Biutiful,"This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.",12.745,/8cj0Q2uFfpTkCw4gMqqcTBpdoqF.jpg,"[{'id': 7116, 'logo_path': None, 'name': 'Menage Atroz', 'origin_country': 'MX'}, {'id': 5444, 'logo_path': None, 'name': 'Mod Producciones', 'origin_country': 'ES'}, {'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 2875, 'logo_path': '/3fNapBvM3EHlyL9TxdP5qEOUNeN.png', 'name': 'Ikiru Films', 'origin_country': 'ES'}, {'id': 981, 'logo_path': '/pkrdO9ykplO4Zc8edikoSX5APUN.png', 'name': 'TVE', 'origin_country': 'ES'}, {'id': 5085, 'logo_path': '/mPuVc7m1Ki7OQQvAYwYfIlEI3vu.png', 'name': 'TV3', 'origin_country': 'ES'}, {'id': 201633, 'logo_path': '/6Ox2aOmqNP6vEmlh02fqygwOkeE.png', 'name': 'Instituto de la Cinematografía y de las Artes Audiovisuales', 'origin_country': 'ES'}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",2010-10-20,25147786.0,148.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Wolof', 'iso_639_1': 'wo', 'name': 'Wolof'}]",Released,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse.",Biutiful,0.0,7.257,1025.0,R,2010
